year;area;information;price_per_square_meter;observations
2008;Pukkila;single_family_houses;;13
2008;Punkaharju;block_of_flats;;3
2008;Punkaharju;single_family_houses;1068;22
2008;Punkalaidun;block_of_flats;656;5
2008;Punkalaidun;single_family_houses;827;7
2008;Puolanka;block_of_flats;;4
2008;Puolanka;single_family_houses;;10
2008;Puumala;block_of_flats;987;7
2008;Puumala;single_family_houses;861;11
2008;Pyhtaa;block_of_flats;;4
2008;Pyhtaa;single_family_houses;1407;26
2008;Pyhajoki;block_of_flats;;
2008;Pyhajoki;single_family_houses;;6
2008;Pyhajarvi;block_of_flats;751;17
2008;Pyhajarvi;single_family_houses;661;18
2008;Pyhanta;block_of_flats;;
2008;Pyhanta;single_family_houses;759;6
2008;Pyharanta;block_of_flats;;
2008;Pyharanta;single_family_houses;;1
2008;Palkane;block_of_flats;1245;9
2008;Palkane;single_family_houses;1258;27
2008;Poytya;block_of_flats;768;8
2008;Poytya;single_family_houses;1036;57
2008;Porvoo;block_of_flats;2002;461
2008;Porvoo;single_family_houses;2141;168
2008;Raahe;block_of_flats;1071;81
2008;Raahe;single_family_houses;1052;76
2008;Raisio;block_of_flats;1310;303
2008;Raisio;single_family_houses;1780;182
2008;Rantasalmi;block_of_flats;805;17
2008;Rantasalmi;single_family_houses;820;8
2008;Ranua;block_of_flats;;
2008;Ranua;single_family_houses;793;12
2008;Rauma;block_of_flats;1165;402
2008;Rauma;single_family_houses;1418;197
2008;Rautalampi;block_of_flats;;
2008;Rautalampi;single_family_houses;;3
2008;Rautavaara;block_of_flats;;4
2008;Rautavaara;single_family_houses;;8
2008;Rautjarvi;block_of_flats;;11
2008;Rautjarvi;single_family_houses;843;10
2008;Reisjarvi;block_of_flats;;
2008;Reisjarvi;single_family_houses;735;9
2008;Riihimaki;block_of_flats;1414;398
2008;Riihimaki;single_family_houses;1776;114
2008;Ristiina;block_of_flats;804;12
2008;Ristiina;single_family_houses;1322;19
2008;Ristijarvi;block_of_flats;;
2008;Ristijarvi;single_family_houses;;5
2008;Rovaniemi;block_of_flats;1267;570
2008;Rovaniemi;single_family_houses;1376;250
2008;Ruokolahti;block_of_flats;916;12
2008;Ruokolahti;single_family_houses;1381;15
2008;Ruotsinpyhtaa;block_of_flats;;1
2008;Ruotsinpyhtaa;single_family_houses;;8
2008;Ruovesi;block_of_flats;652;34
2008;Ruovesi;single_family_houses;935;22
2008;Rusko;block_of_flats;;1
2008;Rusko;single_family_houses;1683;25
2008;Raakkyla;block_of_flats;;2
2008;Raakkyla;single_family_houses;;7
2008;Raasepori;block_of_flats;1517;199
2008;Raasepori;single_family_houses;1554;71
2008;Saarijarvi;block_of_flats;927;28
2008;Saarijarvi;single_family_houses;842;27
2008;Salla;block_of_flats;;2
2008;Salla;single_family_houses;;14
2008;Salo;block_of_flats;1233;335
2008;Salo;single_family_houses;1298;412
2008;Sauvo;block_of_flats;;1
2008;Sauvo;single_family_houses;1121;12
2008;Savitaipale;block_of_flats;1012;8
2008;Savitaipale;single_family_houses;1126;23
2008;Savonlinna;block_of_flats;1210;360
2008;Savonlinna;single_family_houses;1197;140
2008;Savukoski;block_of_flats;;
2008;Savukoski;single_family_houses;;5
2008;Seinajoki;block_of_flats;1328;296
2008;Seinajoki;single_family_houses;1442;468
2008;Sievi;block_of_flats;;
2008;Sievi;single_family_houses;759;7
2008;Siikainen;block_of_flats;;
2008;Siikainen;single_family_houses;;3
2008;Siikajoki;block_of_flats;;
2008;Siikajoki;single_family_houses;844;10
2008;Siilinjarvi;block_of_flats;1317;61
2008;Siilinjarvi;single_family_houses;1553;185
2008;Simo;block_of_flats;;
2008;Simo;single_family_houses;;2
2008;Sipoo;block_of_flats;2080;65
